Title,Body,Labels,Milestone
QGT-SYS-001: Add tsconfig and migrate `src/api.js` to TypeScript,"
As CI, I want the project to have a `tsconfig.json` extending `@tsconfig/vite-react` with strict mode on, so that subsequent files migrate one at a time with type-checking enforcement.

**Acceptance Criteria:**

**Given** the project currently uses plain `.jsx`/`.js`
**When** `tsconfig.json` is added with `""strict"": true`, `""noUncheckedIndexedAccess"": true`, `""exactOptionalPropertyTypes"": true`, and `src/api.js` is renamed to `src/api.ts` with types for the Flowable response envelopes
**Then** `npx tsc --noEmit` exits 0 across the project
**And** the `request()` function has typed signatures for HTTP method, path, options, and return value
**And** ADR-001 and Pattern P-001 are referenced in the file's top-level comment.","type:user-story,state:backlog,area:qgt,release:0.0.1",0.0.1
QGT-SYS-002: Install Biome v2 and remove ESLint/Prettier dependencies,"
As CI, I want Biome v2 to be the only lint+format tool, so that the toolchain has one binary and one config file. Per ADR-007 and PRD FR-F2.

**Acceptance Criteria:**

**Given** the project may have legacy ESLint or Prettier configs
**When** `@biomejs/biome` is installed, `biome.json` is added at repo root, and any `.eslintrc*` / `.prettierrc*` files are removed
**Then** `npx biome ci` passes on the migrated `src/api.ts`
**And** the `package.json` has scripts `lint`, `format`, `check` wrapping Biome
**And** ESLint and Prettier packages are absent from `package.json` and `package-lock.json`.","type:user-story,state:backlog,area:qgt,release:0.0.1",0.0.1
QGT-SYS-003: Wire pre-commit Biome formatter via Husky,"
As a contributor, I want Biome to auto-format my staged files on commit, so that I don't have to remember to run it manually.

**Acceptance Criteria:**

**Given** Husky and the `.husky/pre-commit` hook are already wired (from the imported tooling)
**When** Biome is installed and I run a `git commit` with formatting violations
**Then** the hook runs `npx biome format --write` against the staged files
**And** the corrected files are re-staged automatically
**And** the commit succeeds with no manual intervention.","type:user-story,state:backlog,area:qgt,release:0.0.1",0.0.1
QGT-SYS-004: Migrate remaining `src/` files to TypeScript,"
As a maintainer, I want every source file under `src/` to be `.ts` or `.tsx`, so that the project is fully type-checked end-to-end. Per ADR-001.

**Acceptance Criteria:**

**Given** `src/api.ts` already migrated
**When** every other file in `src/` is renamed to `.tsx` or `.ts` (components.tsx, screens.tsx, modeler.tsx, tweaks-panel.tsx, etc.) and types are added for component props, `useApi` hook return shape, `Flowable*` REST DTOs
**Then** `npx tsc --noEmit` passes cleanly with no `any` outside explicit migration markers
**And** `npx biome check src/` passes
**And** the migration markers (where `any` is intentionally accepted) reference an open issue for tightening.

---","type:user-story,state:backlog,area:qgt,release:0.0.1",0.0.1
QGT-SYS-005: Install Vitest and add unit test for `request()` funnel,"
As CI, I want Vitest to run unit tests on every push, so that regressions to the request funnel are caught immediately.

**Acceptance Criteria:**

**Given** Vitest is not yet installed
**When** `vitest` + `@testing-library/react` + `@testing-library/jest-dom` are installed, `vitest.config.ts` is added, and `src/api/__tests__/request.test.ts` covers the `request()` success path, 4xx error path, and 5xx error path (using a real fetch-mock at the HTTP level — no `vi.mock(api)`)
**Then** `npx vitest run` passes
**And** coverage for `src/api/client.ts` is ≥ 70% per the threshold set in `vitest.config.ts`
**And** Pattern P-001 is referenced in the test file (the funnel rule).","type:user-story,state:backlog,area:qgt,release:0.0.1",0.0.1
QGT-SYS-006: Wire Vitest browser mode with Playwright provider for component tests,"
As a maintainer, I want component tests to run in real Chromium so that `window`, `localStorage`, `IntersectionObserver`, and DOM events behave as they will in production.

**Acceptance Criteria:**

**Given** Vitest unit tier is wired (Story 2.1)
**When** `@vitest/browser` + `@playwright/test` are installed and `vitest.workspace.ts` configures a separate browser project pointing at the Playwright provider, with one example component test (e.g. `<ErrorBox>`) under `src/components/__tests__/ErrorBox.spec.tsx`
**Then** `npx vitest --workspace=vitest.workspace.ts run` passes both projects
**And** the example test asserts a real DOM-rendered error message matching the verbatim engine response.","type:user-story,state:backlog,area:qgt,release:0.0.1",0.0.1
QGT-SYS-007: Add Playwright E2E config and one golden-path test against Docker Flowable,"
As CI, I want one Playwright E2E test that exercises the full operator path (deploy BPMN → start instance → claim task → complete task → check history) against a Dockerized `flowable-rest:7.2.0`, so that any regression in the Flowable REST contract surfaces in CI.

**Acceptance Criteria:**

**Given** the Docker Compose stack is defined (existing `docker-compose.yml`)
**When** `playwright.config.ts` is added with a `webServer` block that starts `docker compose up -d` + waits for `/management/engine` to return 200, and `e2e/golden-path.spec.ts` walks the deploy → start → claim → complete → history flow
**Then** `npx playwright test` exits 0 with the test passing
**And** the test uses real Flowable, no mocks (Pattern P-009)
**And** Docker teardown happens in the `webServer.gracefulShutdown` config.","type:user-story,state:backlog,area:qgt,release:0.0.1",0.0.1
QGT-SYS-008: Add visual snapshot baseline for the API Inspector (single look × theme × density),"
As a maintainer, I want at least one visual snapshot guarding the API Inspector's appearance, so that accidental design-system regressions surface as failing tests. Per NFR-23.

**Acceptance Criteria:**

**Given** Playwright is wired (Story 2.3)
**When** `e2e/visual/api-inspector.spec.ts` runs the app in `editorial / light / regular` and takes a snapshot of the Inspector drawer with 3 sample API_LOG entries
**Then** `npx playwright test --update-snapshots` produces the baseline
**And** subsequent `npx playwright test` passes against the baseline
**And** the test verifies the method-coloured pill mapping (GET → info, POST → ok, PUT → warn, DELETE → bad).","type:user-story,state:backlog,area:qgt,release:0.0.1",0.0.1
QGT-SYS-009: Add `npm test` / `npm run e2e` / `npm run test:browser` script aliases,"
As a contributor, I want one-line npm scripts for each test tier, so that I don't have to remember which Vitest project flag is which.

**Acceptance Criteria:**

**Given** Vitest + Playwright are installed
**When** `package.json` is updated with scripts `test` (Vitest unit), `test:browser` (Vitest browser mode), `e2e` (Playwright), `test:all` (everything in sequence)
**Then** each script runs the expected tier and reports a clear exit code
**And** the scripts are documented in DEVELOPERS.md §5.

---","type:user-story,state:backlog,area:qgt,release:0.0.1",0.0.1
NAV-SYS-001: Install TanStack Router and add the root route,"
As a maintainer, I want TanStack Router installed with a single root route mounting the chrome (Sidebar + Topbar + ApiInspector + Toaster), so that subsequent screen routes can be added incrementally without ripping out the current `App.jsx` switch.

**Acceptance Criteria:**

**Given** TanStack Router is not yet installed
**When** `@tanstack/react-router` + `@tanstack/router-vite-plugin` are installed, `src/routes/__root.tsx` is added with the chrome, and `vite.config.ts` includes the router plugin
**Then** `npm run dev` starts and the root path `/` renders the chrome
**And** the previous `view`-switch can coexist temporarily as the Dashboard placeholder.","type:user-story,state:backlog,area:nav,release:0.0.1",0.0.1
